abandon
absent
abstain
allow
antelope
artistic
assistant
bear
beaver
black
blacken
blackened
blackness
bleaching
blond
brief
bright
brightness
brilliance
brilliant
camel
cat
chimpanzee
clarification
cloud
cloudy
collection
consequence
contrary
cow
dark
darken
darkening
darkness
day
dazzle
dazzled
dazzling
dazzling
dear
decide
drawing
dull
enlighten
enlightened
enlightenment
familiar
flicker
foggy
food
fox
generous
giraffe
global
gorilla
groundhog
hide
hippopotamus
honest
horse
hostel
illuminate
illuminated
illuminating
in
joyful
justify
light
lightness
lovely
low
monkey
mother
mouse
night
not
obfuscate
obfuscation
obscure
obscure
obscurity
opacify
opacity
opaque
opposite
outrageous
peaceful
penumbra
people
photographer
pigeon
rabbit
rat
reflection
rinse
satisfaction
sea lion
sentimental
sesame
shade
shaded
shading
shadow
shady
shine 
shine 
shining 
shiny
sick
simulated
smash
sombre
sparkle
sparkling
staff
strengthen
sunny
sunshine
tarnish
tarnished
thinning
tiger
trouble
unlit
unmatched
unsanitary
washed
whale
white
whitening
whitewash
witness
wolf
